Open,High,Low,Close,Volume,date
1542.0,1543.0,1463.0,1469.0,240000,2021-09-17
1561.0,1609.0,1557.0,1562.0,234300,2021-09-16
1513.0,1527.0,1477.0,1521.0,113200,2021-09-15
1507.0,1544.0,1495.0,1509.0,144600,2021-09-14
1458.0,1495.0,1446.0,1487.0,147300,2021-09-13
1410.0,1444.0,1403.0,1443.0,122000,2021-09-10
1391.0,1407.0,1385.0,1391.0,66600,2021-09-09
1400.0,1418.0,1377.0,1406.0,116100,2021-09-08
1415.0,1415.0,1366.0,1380.0,196700,2021-09-07
1416.0,1426.0,1394.0,1406.0,67700,2021-09-06
1438.0,1438.0,1404.0,1404.0,86500,2021-09-03
1438.0,1452.0,1417.0,1438.0,101700,2021-09-02
1432.0,1439.0,1392.0,1429.0,89800,2021-09-01
1455.0,1470.0,1420.0,1428.0,98500,2021-08-31
1461.0,1482.0,1429.0,1456.0,82300,2021-08-30
1462.0,1475.0,1422.0,1458.0,128500,2021-08-27
1430.0,1459.0,1409.0,1432.0,107000,2021-08-26
1447.0,1447.0,1389.0,1411.0,150700,2021-08-25
1413.0,1469.0,1385.0,1462.0,125200,2021-08-24
1386.0,1440.0,1385.0,1422.0,199900,2021-08-23
1418.0,1426.0,1340.0,1345.0,160700,2021-08-20
1458.0,1458.0,1386.0,1393.0,153400,2021-08-19
1488.0,1496.0,1438.0,1479.0,142100,2021-08-18
1563.0,1580.0,1495.0,1497.0,150900,2021-08-17
1628.0,1629.0,1551.0,1579.0,263100,2021-08-16
1749.0,1749.0,1560.0,1668.0,515900,2021-08-13
1710.0,1716.0,1656.0,1689.0,91400,2021-08-12
1690.0,1730.0,1671.0,1706.0,80400,2021-08-11
1665.0,1687.0,1632.0,1682.0,68600,2021-08-10
1638.0,1670.0,1607.0,1651.0,64400,2021-08-06
1674.0,1688.0,1622.0,1638.0,69800,2021-08-05
1701.0,1720.0,1662.0,1665.0,70000,2021-08-04
1668.0,1718.0,1666.0,1699.0,88900,2021-08-03
1645.0,1670.0,1623.0,1668.0,69800,2021-08-02
1666.0,1679.0,1640.0,1649.0,42400,2021-07-30
1641.0,1673.0,1620.0,1673.0,56500,2021-07-29
1637.0,1651.0,1601.0,1637.0,76700,2021-07-28
1632.0,1665.0,1618.0,1658.0,48900,2021-07-27
1643.0,1668.0,1635.0,1643.0,74700,2021-07-26
1630.0,1640.0,1585.0,1621.0,84100,2021-07-21
1687.0,1687.0,1569.0,1582.0,214400,2021-07-20
1710.0,1748.0,1695.0,1708.0,93600,2021-07-19
1690.0,1759.0,1690.0,1730.0,80300,2021-07-16
1750.0,1750.0,1665.0,1696.0,112300,2021-07-15
1744.0,1771.0,1728.0,1754.0,51100,2021-07-14
1772.0,1793.0,1738.0,1749.0,81000,2021-07-13
1730.0,1771.0,1718.0,1762.0,127200,2021-07-12
1670.0,1730.0,1650.0,1724.0,130800,2021-07-09
1672.0,1694.0,1623.0,1681.0,126300,2021-07-08
1685.0,1740.0,1653.0,1668.0,137300,2021-07-07
1676.0,1703.0,1626.0,1703.0,130200,2021-07-06
1666.0,1730.0,1647.0,1675.0,176900,2021-07-05
1597.0,1678.0,1564.0,1666.0,165900,2021-07-02
1604.0,1639.0,1589.0,1605.0,174500,2021-07-01
1481.0,1611.0,1456.0,1606.0,280300,2021-06-30
1490.0,1506.0,1473.0,1492.0,176700,2021-06-29
1506.95,1513.93,1455.09,1489.0,167950,2021-06-28
1513.93,1529.89,1491.99,1517.92,83624,2021-06-25
1492.99,1516.92,1468.06,1505.95,91244,2021-06-24
1485.01,1519.92,1458.08,1517.92,149300,2021-06-23
1433.15,1465.06,1411.21,1457.09,140276,2021-06-22
1433.15,1433.15,1380.29,1387.27,94954,2021-06-21
1460.08,1489.0,1422.18,1443.12,149400,2021-06-18
1495.98,1495.98,1436.14,1441.13,144888,2021-06-17
1484.01,1504.96,1458.08,1493.99,118919,2021-06-16
1461.08,1520.91,1457.09,1502.96,218385,2021-06-15
1405.23,1457.09,1393.26,1440.13,172462,2021-06-14
1375.31,1414.2,1364.33,1402.23,185898,2021-06-11
1370.32,1371.32,1342.39,1362.34,119119,2021-06-10
1350.37,1377.3,1329.43,1359.35,157923,2021-06-09
1344.39,1394.25,1328.43,1345.39,209963,2021-06-08
1296.52,1397.25,1292.53,1316.46,457626,2021-06-07
1294.52,1296.52,1256.62,1267.59,387538,2021-06-04
1319.46,1326.44,1292.53,1294.52,113003,2021-06-03
1336.41,1342.39,1297.51,1318.46,130349,2021-06-02
1336.41,1344.39,1312.47,1320.45,110997,2021-06-01
1338.4,1372.31,1329.43,1346.38,143083,2021-05-31
1358.35,1362.34,1318.46,1338.4,267918,2021-05-28
1370.32,1383.28,1324.44,1350.37,172362,2021-05-27
1416.2,1424.17,1356.36,1364.33,138972,2021-05-26
1477.03,1490.0,1405.23,1417.19,106084,2021-05-25
1502.96,1502.96,1451.1,1460.08,141780,2021-05-24
1408.22,1510.94,1407.22,1502.96,337103,2021-05-21
1414.2,1449.11,1403.23,1406.22,170457,2021-05-20
1347.38,1419.19,1342.39,1395.25,201239,2021-05-19
1339.4,1365.33,1280.56,1332.42,233526,2021-05-18
1276.57,1361.34,1275.57,1340.4,249669,2021-05-17
1452.1,1452.1,1243.66,1246.65,537239,2021-05-14
1432.15,1480.02,1404.23,1441.13,197629,2021-05-13
1437.14,1469.05,1423.18,1462.07,115610,2021-05-12
1474.04,1496.98,1428.16,1429.16,163237,2021-05-11
1497.98,1513.93,1471.05,1488.0,89540,2021-05-10
1494.98,1526.9,1480.02,1490.99,92448,2021-05-07
1457.09,1509.94,1420.18,1494.98,128745,2021-05-06
1493.99,1504.96,1455.09,1457.09,116211,2021-04-30
1504.96,1540.86,1448.11,1488.0,152609,2021-04-28
1520.91,1564.8,1497.98,1497.98,152509,2021-04-27
1540.86,1570.78,1497.98,1524.9,186500,2021-04-26
1476.03,1531.88,1471.05,1523.91,169354,2021-04-23
1487.01,1503.96,1462.07,1484.01,127040,2021-04-22
1470.05,1485.01,1430.16,1457.09,142381,2021-04-21
1411.21,1490.0,1396.25,1454.09,169053,2021-04-20
1378.3,1461.08,1373.31,1422.18,149701,2021-04-19
1383.28,1421.18,1383.28,1390.27,130650,2021-04-16
1354.36,1399.24,1354.36,1382.29,111599,2021-04-15
1351.37,1375.31,1333.42,1356.36,120423,2021-04-14
1381.29,1384.28,1321.45,1354.36,173064,2021-04-13
1453.1,1476.03,1352.37,1366.33,392752,2021-04-12
1356.36,1392.26,1343.39,1363.34,205551,2021-04-09
1329.43,1345.39,1298.51,1334.42,110095,2021-04-08
1296.52,1352.37,1277.57,1346.38,127141,2021-04-07
1296.52,1334.42,1267.59,1296.52,156419,2021-04-06
1296.52,1301.5,1252.63,1281.56,101773,2021-04-05
1287.54,1311.48,1269.59,1297.51,84827,2021-04-02
1294.52,1304.5,1273.58,1286.54,63370,2021-04-01
1267.59,1299.51,1259.62,1290.53,69887,2021-03-31
1278.57,1298.51,1259.62,1279.56,93551,2021-03-30
1283.55,1324.44,1262.61,1281.56,116612,2021-03-29
1260.61,1281.56,1231.69,1271.58,109193,2021-03-26
1224.71,1249.64,1207.76,1230.69,72193,2021-03-25
1277.57,1283.55,1220.72,1224.71,159928,2021-03-24
1312.47,1356.36,1302.5,1307.49,70890,2021-03-23
1310.48,1339.4,1300.51,1312.47,78310,2021-03-22
1323.44,1340.4,1293.53,1333.42,117916,2021-03-19
1356.36,1367.33,1308.48,1351.37,152208,2021-03-18
1271.58,1353.36,1261.61,1344.39,171961,2021-03-17
1231.69,1273.58,1224.71,1271.58,87434,2021-03-16
1196.78,1243.66,1171.85,1241.66,185397,2021-03-15
1199.78,1215.73,1160.88,1193.79,130750,2021-03-12
1165.87,1186.81,1131.96,1183.82,135363,2021-03-11
1152.9,1202.77,1137.94,1188.81,105984,2021-03-10
1134.95,1178.83,1123.98,1150.91,126940,2021-03-09
1136.95,1174.84,1122.98,1134.95,95757,2021-03-08
1134.95,1134.95,1077.11,1096.06,178679,2021-03-05
1156.89,1189.8,1124.98,1147.92,144287,2021-03-04
1186.81,1189.8,1118.0,1171.85,176673,2021-03-03
1159.88,1226.7,1159.88,1202.77,264509,2021-03-02
1169.86,1186.81,1083.09,1110.02,167649,2021-03-01
1136.95,1170.85,1123.98,1149.91,130149,2021-02-26
1158.89,1221.72,1151.91,1179.83,142081,2021-02-25
1227.7,1233.69,1127.97,1137.94,218385,2021-02-24
1293.53,1296.52,1208.75,1260.61,253379,2021-02-22
1241.66,1291.53,1228.7,1278.57,246160,2021-02-19
1168.86,1237.68,1158.89,1230.69,259094,2021-02-18
1149.91,1193.79,1137.94,1168.86,272430,2021-02-17
1055.17,1185.81,1055.17,1148.91,327377,2021-02-16
1028.24,1119.99,1025.25,1047.19,548068,2021-02-15
1001.31,1027.24,978.37,1024.25,105382,2021-02-12
968.4,1002.31,949.45,996.32,112501,2021-02-10
987.35,987.35,949.45,968.4,77006,2021-02-09
1007.29,1007.29,972.39,983.36,121726,2021-02-08
1031.23,1031.23,983.36,996.32,114607,2021-02-05
1027.24,1040.21,987.35,1009.29,134159,2021-02-04
947.45,1049.18,945.46,1037.21,311134,2021-02-03
897.59,944.46,891.6,940.47,104981,2021-02-02
878.64,905.57,875.65,889.61,59058,2021-02-01
899.58,931.5,885.62,885.62,155116,2021-01-29
848.72,888.61,840.74,888.61,116612,2021-01-28
873.65,873.65,857.7,862.68,31184,2021-01-27
862.68,866.67,851.71,860.69,31184,2021-01-26
849.72,881.63,845.73,874.65,58457,2021-01-25
852.71,865.67,828.77,841.74,45422,2021-01-22
818.8,842.74,818.8,830.77,41311,2021-01-21
849.72,849.72,812.82,818.8,42514,2021-01-20
831.77,849.72,822.79,826.78,40910,2021-01-19
829.77,833.76,811.82,831.77,56451,2021-01-18
858.69,861.69,811.82,824.78,143986,2021-01-15
869.66,880.63,848.72,867.67,83323,2021-01-14
869.66,885.62,862.68,875.65,37500,2021-01-13
877.64,879.64,865.67,869.66,53042,2021-01-12
887.62,899.58,872.66,882.63,87033,2021-01-08
889.61,906.56,885.62,887.62,58156,2021-01-07
879.64,908.56,879.64,888.61,48229,2021-01-06
858.69,885.62,846.73,874.65,68584,2021-01-05
900.58,900.58,847.72,851.71,80716,2021-01-04
888.61,904.57,877.64,900.58,82621,2020-12-30
883.63,910.55,850.71,888.61,266113,2020-12-29
880.25,907.01,880.25,898.09,92407,2020-12-28
887.19,893.13,870.33,884.2,88270,2020-12-25
890.16,900.07,881.23,890.16,76569,2020-12-24
880.25,901.06,871.32,887.19,58612,2020-12-23
908.99,908.99,869.34,872.32,118434,2020-12-22
926.83,950.63,907.01,910.97,112584,2020-12-21
898.09,916.92,881.23,913.94,138510,2020-12-18
897.1,899.07,871.32,883.22,243628,2020-12-17
914.94,916.92,888.17,894.12,87565,2020-12-16
910.97,947.65,906.02,910.97,145471,2020-12-15
906.02,914.94,895.12,902.06,67287,2020-12-14
889.16,917.91,889.16,908.0,73340,2020-12-11
897.1,908.99,887.19,888.17,56191,2020-12-10
907.01,939.73,889.16,903.04,130742,2020-12-09
840.59,910.97,836.63,906.02,151523,2020-12-08
864.39,872.32,828.69,840.59,94222,2020-12-07
890.16,896.1,857.45,872.32,111575,2020-12-04
874.3,892.14,853.48,884.2,201560,2020-12-03
909.99,913.94,873.3,878.26,227689,2020-12-02
921.87,931.79,876.28,929.81,258962,2020-12-01
959.54,961.53,901.06,916.92,296893,2020-11-30
996.22,999.2,969.46,991.27,160098,2020-11-27
1007.12,1039.84,1004.15,1015.05,90591,2020-11-26
999.2,1032.9,996.22,1007.12,141032,2020-11-25
1030.92,1035.88,981.35,1016.05,223149,2020-11-24
992.25,1037.85,943.68,1035.88,272883,2020-11-20
1051.73,1053.72,978.38,992.25,339364,2020-11-19
1101.3,1138.96,1071.56,1107.25,262189,2020-11-18
1110.22,1188.53,1094.36,1120.13,404230,2020-11-17
1035.88,1119.14,1033.89,1089.4,276212,2020-11-16
1027.94,1067.59,1016.05,1039.84,306073,2020-11-13
991.27,1040.83,973.43,1039.84,710606,2020-11-12
902.06,911.97,847.53,911.97,175735,2020-11-11
916.92,935.76,892.14,908.0,238583,2020-11-10
857.45,902.06,854.47,897.1,196214,2020-11-09
791.03,876.28,784.09,858.43,340978,2020-11-06
819.78,825.72,768.24,768.24,236970,2020-11-05
867.36,872.32,784.09,824.73,293160,2020-11-04
901.06,919.9,853.48,860.42,155155,2020-11-02
926.83,926.83,877.27,895.12,243526,2020-10-30
853.48,935.76,846.55,935.76,247361,2020-10-29
917.91,920.89,853.48,862.4,244738,2020-10-28
873.3,908.0,872.32,903.04,206403,2020-10-27
832.66,877.27,832.66,873.3,174726,2020-10-26
805.9,844.56,787.07,824.73,313235,2020-10-23
842.58,888.17,775.17,780.12,283778,2020-10-22
806.89,837.62,803.92,837.62,175836,2020-10-21
790.04,817.79,788.05,806.89,199441,2020-10-20
787.07,792.02,777.15,788.05,70617,2020-10-19
784.09,792.02,767.24,777.15,167261,2020-10-16
